size_bytes,user_rating,user_rating_mark
169833472,4.0,medium
62576640,2.0,low
389818368,4.5,high
131464192,4.0,medium
14417920,4.5,high
985018368,4.5,high
3321082880,4.0,medium
19080192,4.5,high
110405632,0.0,low
52821364,4.0,medium
63474688,4.0,medium
169523200,3.5,medium
210569216,3.5,medium
117156864,4.5,high
14125056,0.0,low
50384896,0.0,low
43375753,4.5,high
105809920,4.5,high
77918208,4.5,high
26501120,4.5,high
319086592,4.5,high
291862528,4.5,high
35096576,4.5,high
12614656,0.0,low
9299968,0.0,low
7297024,2.0,low
154898432,4.0,medium
117082112,0.0,low
130640896,4.0,medium
33857536,4.0,medium
74778624,4.5,high
132480000,4.5,high
259990528,4.0,medium
76058624,4.5,high
53388288,3.0,low
47551488,0.0,low
12806454,2.5,low
295349248,4.5,high
867749888,4.0,medium
162976768,3.5,medium
27619328,4.5,high
12316672,4.5,high
34050048,4.0,medium
15624192,0.0,low
46416896,0.0,low
91393024,4.0,medium
250655744,4.5,high
185210880,4.5,high
61166592,3.0,low
79211520,4.5,high
116981760,5.0,high
66417664,0.0,low
71362560,0.0,low
173861888,4.5,high
639434752,4.5,high
145968128,4.5,high
97480704,4.5,high
27934720,4.0,medium
177498112,1.0,low
80203776,4.5,high
270729216,3.5,medium
825167872,4.5,high
75713536,0.0,low
53107712,0.0,low
232179712,3.0,low
140803072,3.0,low
28471296,2.0,low
651927552,4.5,high
53814272,3.5,medium
1654582272,4.0,medium
86094848,3.5,medium
262242304,0.0,low
1082294272,4.0,medium
40531968,5.0,high
7755776,0.0,low
111604736,4.0,medium
43807744,0.0,low
15210496,4.5,high
105982976,4.0,medium
29577216,4.5,high
187040768,3.0,low
302585856,2.5,low
42011648,5.0,high
54808576,5.0,high
268843008,4.0,medium
26119168,4.5,high
68038656,4.5,high
45833216,4.5,high
187282432,4.5,high
742145024,3.5,medium
276512768,3.5,medium
233611264,4.5,high
104206336,3.0,low
167212032,4.0,medium
438854656,2.5,low
227135488,5.0,high
102500352,5.0,high
27547648,4.0,medium
73332736,4.0,medium
124726272,4.5,high
29007872,3.5,medium
58326016,3.0,low
107376640,4.5,high
164357120,4.5,high
67862528,2.5,low
43338752,4.5,high
37214208,3.5,medium
25202688,4.0,medium
124596224,4.0,medium
252966912,4.5,high
26798080,0.0,low
2413393920,4.5,high
47082496,3.0,low
117726208,4.5,high
59741184,4.0,medium
255226880,3.5,medium
156213248,4.5,high
157614080,4.5,high
206807040,4.0,medium
68812800,4.5,high
109620224,4.0,medium
232590336,4.5,high
21462305,4.0,medium
61595648,5.0,high
13500416,2.5,low
269280256,0.0,low
60380160,3.0,low
6580224,4.0,medium
32992256,4.0,medium
137866240,3.5,medium
248264704,4.5,high
83590144,3.5,medium
38051840,4.5,high
